Time,Count,Reading,Average,Ac Average,Time,Time Diff,
10/03/2020 12:15:57,1,3.276,2.4998925941213668,0.5687588787207382,03_10__12_15_46,0.009915,
10/03/2020 12:15:57,1,1.677,2.4587479644152985,0.5794083330054661,03_10__12_15_46,0.009915,
10/03/2020 12:15:57,1,3.288,2.5002105661945335,0.5898273880454661,03_10__12_15_46,0.009915,
10/03/2020 12:15:57,1,1.665,2.458450037884807,0.6000085205374331,03_10__12_15_46,0.009912,
10/03/2020 12:15:57,1,3.297,2.5003775359905664,0.6098392177110332,03_10__12_15_46,0.009913,
10/03/2020 12:15:57,1,1.662,2.458458659191038,0.6191701897850335,03_10__12_15_46,0.009913,
10/03/2020 12:15:57,1,3.3,2.5005357262314862,0.6281848939842075,03_10__12_15_46,0.009927,
10/03/2020 12:15:57,1,1.659,2.458458939919912,0.6367485962809928,03_10__12_15_46,0.009926,
10/03/2020 12:15:57,1,3.3,2.500535992923916,0.6448843668207473,03_10__12_15_46,0.009917,
10/03/2020 12:15:57,1,1.659,2.4584591932777204,0.652613108143596,03_10__12_15_46,0.009911,
10/03/2020 12:15:57,1,3.3,2.5005362336138344,0.6599556410557245,03_10__12_15_46,0.009917,
10/03/2020 12:15:57,1,1.659,2.4584594219331426,0.6669308300995954,03_10__12_15_46,0.009915,
10/03/2020 12:15:57,1,3.3,2.5005364508364853,0.6735574660527913,03_10__12_15_46,0.009915,
10/03/2020 12:15:57,1,1.659,2.458459628294661,0.6798525741648848,03_10__12_15_46,0.009914,
10/03/2020 12:15:57,1,3.3,2.500536646879928,0.685833113112644,03_10__12_15_46,0.009913,
10/03/2020 12:15:58,1,1.662,2.4586098145359316,0.6913719481838084,03_10__12_15_46,0.009921,
10/03/2020 12:15:58,1,3.297,2.5005293238091353,0.6966268845841612,03_10__12_15_46,0.009915,
10/03/2020 12:15:58,1,1.662,2.4586028576186787,0.7016256832358871,03_10__12_15_46,0.009915,
10/03/2020 12:15:58,1,3.294,2.5003727147377446,0.7062257633372055,03_10__12_15_46,0.009915,
10/03/2020 12:15:58,1,1.668,2.4587540790008573,0.7104521791203882,03_10__12_15_46,0.009914,
10/03/2020 12:15:58,1,3.288,2.5002163750508144,0.714318751411828,03_10__12_15_46,0.009957,
10/03/2020 12:15:58,1,1.674,2.458905556298274,0.7178480916561503,03_10__12_15_46,0.009916,
10/03/2020 12:15:58,1,3.282,2.5000602784833603,0.7210526731491748,03_10__12_15_46,0.009912,
10/03/2020 12:15:58,1,1.686,2.459357264559192,0.7236679027196756,03_10__12_15_46,0.009915,
10/03/2020 12:15:58,1,3.267,2.4997394013312326,0.7258475375171302,03_10__12_15_46,0.009914,
10/03/2020 12:15:58,1,1.698,2.459652431264671,0.7276377822045071,03_10__12_15_46,0.009915,
10/03/2020 12:15:58,1,3.255,2.499419809701437,0.7290349026092099,03_10__12_15_46,0.009914,
10/03/2020 12:15:58,1,1.713,2.4600988192163653,0.7299380984395677,03_10__12_15_46,0.009914,
